permissions_count,data_collection_level,third_party_sharing,advertising_tracking,encryption,mfa,secure_server,data_deletion_option,privacy_score,risk_level,privacy_category
10,1,0,1,1,0,1,1,61.45,Low,Highly Secure
4,2,0,1,1,0,1,0,57.14,Low,Highly Secure
12,3,0,1,0,0,1,0,27.84,High,Privacy Risky
11,3,0,1,0,0,0,0,21.16,High,Privacy Risky
6,2,0,0,0,1,0,0,44.8,Medium,Moderately Secure
2,3,1,1,1,1,1,1,61.37,Low,Highly Secure
15,3,1,1,1,0,0,0,19.54,High,Privacy Risky
8,3,1,1,1,0,0,0,26.31,High,Privacy Risky
14,2,1,1,0,1,1,0,27.66,High,Privacy Risky
11,1,1,1,0,0,0,1,33.12,High,Privacy Risky
12,3,0,1,1,0,1,0,35.24,High,Privacy Risky
12,1,1,0,1,0,0,1,29.41,High,Privacy Risky
4,2,1,0,1,0,1,1,72.99,Low,Highly Secure
7,1,0,0,0,0,1,1,62.21,Low,Highly Secure
8,3,0,1,0,0,1,1,40.41,Medium,Moderately Secure
8,2,1,1,0,1,0,1,44.26,Medium,Moderately Secure
2,1,0,0,1,1,1,0,73.87,Low,Highly Secure
9,1,1,1,1,0,1,1,44.55,Medium,Moderately Secure
4,2,1,1,1,1,1,1,61.44,Low,Highly Secure
12,2,0,0,0,1,0,0,40.3,Medium,Moderately Secure
11,3,0,0,1,0,0,0,36.31,High,Privacy Risky
14,1,0,1,0,0,0,1,34.97,High,Privacy Risky
12,3,0,0,1,1,0,1,46.92,Medium,Moderately Secure
7,2,0,1,1,0,1,1,57.53,Low,Highly Secure
15,3,1,1,1,0,1,0,16.8,High,Privacy Risky
7,1,0,1,1,0,1,0,51.83,Medium,Moderately Secure
6,1,0,0,1,0,1,1,77.25,Low,Highly Secure
14,1,0,1,0,0,1,0,39.83,Medium,Moderately Secure
7,2,1,0,0,0,0,1,50.55,Medium,Moderately Secure
3,3,0,0,1,0,0,1,53.74,Low,Highly Secure
8,1,0,0,1,1,1,0,64.83,Low,Highly Secure
13,2,1,0,0,0,0,1,23.92,High,Privacy Risky
4,1,0,0,1,1,0,0,78.46,Low,Highly Secure
8,3,0,1,0,1,1,0,30.45,High,Privacy Risky
3,3,0,0,1,1,1,0,68.73,Low,Highly Secure
11,3,0,1,0,1,0,1,34.61,High,Privacy Risky
8,3,0,0,1,0,0,1,43.0,Medium,Moderately Secure
6,2,1,0,0,0,0,0,42.04,Medium,Moderately Secure
5,3,0,1,0,0,1,1,50.19,Medium,Moderately Secure
9,1,0,1,1,1,1,1,63.96,Low,Highly Secure
11,3,0,1,1,1,1,1,31.31,High,Privacy Risky
15,3,1,1,0,1,1,1,21.7,High,Privacy Risky
8,3,1,0,1,0,0,1,29.8,High,Privacy Risky
4,2,0,0,0,0,1,1,52.99,Low,Highly Secure
13,3,0,1,0,1,0,1,29.08,High,Privacy Risky
10,2,0,1,0,1,0,0,43.79,Medium,Moderately Secure
11,1,0,0,0,1,1,0,45.65,Medium,Moderately Secure
3,3,0,0,1,0,1,0,67.2,Low,Highly Secure
6,1,0,1,1,0,0,1,49.73,Medium,Moderately Secure
12,1,1,1,0,0,0,1,28.8,High,Privacy Risky
13,2,0,0,0,1,0,1,58.6,Low,Highly Secure
8,1,0,0,1,0,1,0,61.49,Low,Highly Secure
13,3,0,1,1,1,1,0,34.27,High,Privacy Risky
13,2,1,0,0,0,0,0,22.36,High,Privacy Risky
7,1,1,0,0,0,0,1,41.68,Medium,Moderately Secure
14,3,0,0,0,0,0,0,26.51,High,Privacy Risky
6,2,0,1,0,1,0,0,54.36,Low,Highly Secure
5,1,1,0,1,1,0,1,65.48,Low,Highly Secure
11,3,1,0,1,1,0,0,33.71,High,Privacy Risky
10,2,0,0,1,1,0,1,58.94,Low,Highly Secure
3,1,1,1,1,0,1,1,55.02,Low,Highly Secure
13,3,1,0,0,0,1,0,25.21,High,Privacy Risky
4,2,0,0,1,1,0,0,61.85,Low,Highly Secure
13,3,1,0,1,0,1,0,27.44,High,Privacy Risky
2,3,0,1,1,0,0,0,59.33,Low,Highly Secure
13,2,0,1,0,1,1,0,44.49,Medium,Moderately Secure
13,3,0,1,1,1,0,0,32.97,High,Privacy Risky
12,1,0,0,0,0,1,0,30.99,High,Privacy Risky
11,1,1,1,1,1,0,1,43.37,Medium,Moderately Secure
8,2,0,0,1,1,1,0,70.74,Low,Highly Secure
11,3,0,1,1,1,0,1,62.26,Low,Highly Secure
5,2,0,0,1,1,1,1,68.39,Low,Highly Secure
12,2,1,1,1,0,0,0,26.27,High,Privacy Risky
9,3,1,1,0,0,1,1,22.67,High,Privacy Risky
8,3,1,0,1,1,0,0,45.72,Medium,Moderately Secure
9,3,0,1,1,0,1,1,43.89,Medium,Moderately Secure
9,1,1,0,0,0,0,0,30.51,High,Privacy Risky
2,3,1,0,0,1,1,1,59.54,Low,Highly Secure
3,2,1,0,0,0,1,1,56.38,Low,Highly Secure
5,2,0,1,1,1,1,1,67.49,Low,Highly Secure
3,2,1,0,1,0,0,0,47.05,Medium,Moderately Secure
8,1,0,1,1,0,0,1,55.18,Low,Highly Secure
11,1,0,1,1,1,0,1,49.63,Medium,Moderately Secure
11,2,0,1,1,1,1,1,57.46,Low,Highly Secure
8,3,0,1,1,0,1,1,56.22,Low,Highly Secure
13,3,0,0,0,0,0,0,11.55,High,Privacy Risky
9,1,0,1,0,0,1,0,47.95,Medium,Moderately Secure
3,3,0,0,0,0,0,1,54.65,Low,Highly Secure
12,1,1,1,1,1,1,1,50.31,Medium,Moderately Secure
10,3,0,0,0,0,0,1,35.66,High,Privacy Risky
10,2,1,1,0,0,0,1,30.62,High,Privacy Risky
9,2,1,1,0,0,0,1,30.55,High,Privacy Risky
9,3,1,1,1,0,0,1,32.41,High,Privacy Risky
3,2,1,0,1,1,0,0,56.2,Low,Highly Secure
9,3,0,1,1,0,0,0,49.04,Medium,Moderately Secure
13,2,1,0,0,1,0,0,16.46,High,Privacy Risky
6,3,1,0,1,0,0,1,44.74,Medium,Moderately Secure
10,2,0,0,1,0,1,1,51.58,Medium,Moderately Secure
2,1,0,1,1,1,0,1,83.34,Low,Highly Secure
6,3,1,1,0,0,0,0,27.67,High,Privacy Risky
8,2,0,1,0,0,1,1,50.52,Medium,Moderately Secure
15,2,0,0,1,0,1,1,35.38,High,Privacy Risky
5,1,1,0,0,0,0,1,53.89,Low,Highly Secure
5,1,1,1,1,1,1,0,54.4,Low,Highly Secure
7,2,0,0,1,1,1,0,66.39,Low,Highly Secure
15,1,1,0,0,0,1,0,30.59,High,Privacy Risky
13,3,0,1,1,1,0,1,40.58,Medium,Moderately Secure
2,3,1,0,0,1,0,1,43.86,Medium,Moderately Secure
5,3,1,1,1,1,0,1,59.19,Low,Highly Secure
13,3,0,1,0,0,1,0,31.49,High,Privacy Risky
2,2,0,1,0,1,1,0,72.08,Low,Highly Secure
13,1,1,1,0,0,1,1,39.62,Medium,Moderately Secure
5,2,0,1,0,1,1,0,58.71,Low,Highly Secure
14,2,0,1,1,1,0,1,52.76,Low,Highly Secure
6,3,0,0,0,0,0,0,43.11,Medium,Moderately Secure
8,1,1,0,0,0,1,1,61.24,Low,Highly Secure
11,2,0,0,0,1,1,1,58.23,Low,Highly Secure
3,2,1,1,0,0,0,1,36.15,High,Privacy Risky
9,1,1,1,0,1,0,0,34.92,High,Privacy Risky
9,1,0,0,1,1,1,1,69.1,Low,Highly Secure
12,2,1,1,1,0,0,1,37.81,High,Privacy Risky
15,1,1,0,0,0,0,1,38.01,High,Privacy Risky
11,1,0,1,1,0,1,0,54.64,Low,Highly Secure
7,2,1,1,1,0,0,1,42.82,Medium,Moderately Secure
7,1,0,1,0,0,0,0,38.16,High,Privacy Risky
7,2,0,0,1,0,1,0,50.07,Medium,Moderately Secure
13,1,0,0,0,1,0,1,44.79,Medium,Moderately Secure
6,1,1,1,0,0,1,1,52.64,Low,Highly Secure
4,2,1,1,0,1,0,0,41.97,Medium,Moderately Secure
6,3,0,1,0,1,0,0,42.34,Medium,Moderately Secure
2,2,1,0,1,1,0,1,66.7,Low,Highly Secure
3,3,1,0,1,1,1,1,50.11,Medium,Moderately Secure
3,2,1,0,0,0,0,0,53.22,Low,Highly Secure
12,2,1,1,1,1,1,1,45.27,Medium,Moderately Secure
12,2,0,0,1,0,0,1,38.24,High,Privacy Risky
11,3,1,0,1,0,0,1,41.91,Medium,Moderately Secure
8,3,0,0,1,0,1,0,51.21,Medium,Moderately Secure
12,3,0,1,1,1,1,1,49.65,Medium,Moderately Secure
4,3,0,1,0,1,1,1,57.31,Low,Highly Secure
14,2,1,1,1,1,0,1,44.0,Medium,Moderately Secure
9,2,1,0,1,1,0,1,46.73,Medium,Moderately Secure
15,3,0,0,1,0,1,0,28.14,High,Privacy Risky
4,1,0,0,1,1,0,0,66.73,Low,Highly Secure
8,2,0,0,0,0,0,0,45.66,Medium,Moderately Secure
11,3,1,1,0,1,1,0,25.59,High,Privacy Risky
8,2,0,1,0,0,1,0,45.84,Medium,Moderately Secure
8,1,1,1,0,1,0,0,41.54,Medium,Moderately Secure
4,2,0,0,1,0,1,1,55.03,Low,Highly Secure
7,1,0,0,1,1,1,1,73.98,Low,Highly Secure
5,3,1,1,1,0,0,1,48.01,Medium,Moderately Secure
6,3,0,0,1,0,1,1,56.6,Low,Highly Secure
11,1,0,0,1,1,1,0,68.04,Low,Highly Secure
10,2,0,0,1,0,0,0,51.11,Medium,Moderately Secure
10,3,1,0,1,0,0,0,35.45,High,Privacy Risky
7,3,0,1,1,0,0,0,41.78,Medium,Moderately Secure
15,1,0,1,1,0,1,0,33.42,High,Privacy Risky
3,2,0,0,0,0,0,1,53.76,Low,Highly Secure
6,2,1,1,1,1,0,1,48.47,Medium,Moderately Secure
3,2,1,0,1,0,0,1,63.05,Low,Highly Secure
6,1,1,0,1,0,0,0,53.19,Low,Highly Secure
15,1,0,0,0,0,0,1,35.72,High,Privacy Risky
7,3,1,1,0,1,1,1,44.63,Medium,Moderately Secure
14,1,0,1,0,1,1,0,42.08,Medium,Moderately Secure
8,1,1,1,1,0,0,0,37.72,High,Privacy Risky
11,1,1,0,1,0,0,1,47.26,Medium,Moderately Secure
8,1,1,0,1,0,0,0,44.21,Medium,Moderately Secure
5,1,1,1,1,1,1,1,55.4,Low,Highly Secure
12,2,1,0,0,1,1,0,36.24,High,Privacy Risky
15,3,0,0,1,1,1,0,31.95,High,Privacy Risky
5,1,1,1,1,0,1,1,54.74,Low,Highly Secure
12,1,1,1,0,1,0,0,39.76,Medium,Moderately Secure
5,1,1,0,1,0,0,0,58.74,Low,Highly Secure
12,2,1,0,0,1,0,0,35.06,High,Privacy Risky
13,1,0,1,1,1,1,0,55.52,Low,Highly Secure
8,3,1,0,1,0,0,1,40.07,Medium,Moderately Secure
12,2,0,0,1,1,0,0,42.72,Medium,Moderately Secure
5,3,1,0,1,1,1,0,44.47,Medium,Moderately Secure
3,2,1,0,0,0,1,1,51.93,Low,Highly Secure
3,2,0,1,1,0,0,1,62.55,Low,Highly Secure
8,3,1,1,1,0,1,0,46.08,Medium,Moderately Secure
14,2,1,1,1,1,1,1,39.1,High,Privacy Risky
3,3,1,0,1,0,1,0,49.32,Medium,Moderately Secure
8,3,0,0,0,0,1,1,44.47,Medium,Moderately Secure
11,2,0,1,1,1,0,1,36.72,High,Privacy Risky
4,3,1,0,0,0,1,1,38.07,High,Privacy Risky
12,1,1,1,1,0,1,0,32.18,High,Privacy Risky
6,3,1,1,0,1,1,0,42.76,Medium,Moderately Secure
13,3,1,0,0,1,1,1,36.14,High,Privacy Risky
10,3,0,1,0,1,1,1,43.56,Medium,Moderately Secure
9,1,1,1,1,0,1,0,48.11,Medium,Moderately Secure
4,3,0,0,0,0,1,0,45.15,Medium,Moderately Secure
8,2,1,1,0,0,1,0,29.58,High,Privacy Risky
13,1,1,0,1,1,1,1,59.53,Low,Highly Secure
2,1,1,1,0,0,0,0,38.33,High,Privacy Risky
12,2,1,1,0,0,1,1,28.52,High,Privacy Risky
8,1,0,0,0,1,0,1,69.89,Low,Highly Secure
12,1,0,1,0,1,1,1,51.08,Medium,Moderately Secure
11,2,0,0,1,1,1,0,52.1,Low,Highly Secure
8,2,1,1,1,0,1,1,39.69,Medium,Moderately Secure
6,1,0,1,1,1,1,1,73.58,Low,Highly Secure
10,3,1,1,0,0,0,0,11.15,High,Privacy Risky
3,3,0,1,0,1,0,1,51.8,Medium,Moderately Secure
10,2,0,0,0,0,1,1,55.28,Low,Highly Secure
3,3,0,1,0,1,1,1,66.7,Low,Highly Secure
11,2,0,0,1,0,1,1,46.14,Medium,Moderately Secure
10,1,0,1,1,1,1,0,49.59,Medium,Moderately Secure
3,1,0,0,0,0,1,1,66.55,Low,Highly Secure
12,3,1,1,1,1,0,1,23.55,High,Privacy Risky
7,3,1,0,1,0,0,0,29.23,High,Privacy Risky
13,3,1,1,0,0,1,1,16.79,High,Privacy Risky
2,1,0,0,1,0,1,0,77.92,Low,Highly Secure
4,1,1,1,0,1,1,1,48.94,Medium,Moderately Secure
8,1,1,0,0,0,1,1,45.79,Medium,Moderately Secure
4,1,1,0,1,0,1,0,61.76,Low,Highly Secure
6,1,0,0,1,1,1,0,74.72,Low,Highly Secure
11,2,1,0,0,0,1,0,28.89,High,Privacy Risky
4,1,1,1,1,0,0,1,65.22,Low,Highly Secure
11,3,0,0,1,1,1,0,43.51,Medium,Moderately Secure
3,2,0,0,1,1,1,1,82.93,Low,Highly Secure
4,1,1,0,0,1,0,0,51.12,Medium,Moderately Secure
10,2,0,0,1,1,1,1,65.18,Low,Highly Secure
13,3,0,1,1,0,1,1,38.96,High,Privacy Risky
4,1,1,1,1,0,1,0,58.82,Low,Highly Secure
6,1,0,0,1,0,0,1,65.59,Low,Highly Secure
14,1,0,1,1,1,1,1,42.79,Medium,Moderately Secure
15,3,0,1,1,1,0,0,20.32,High,Privacy Risky
10,1,1,1,1,0,1,0,39.11,High,Privacy Risky
8,2,0,1,1,1,1,1,61.31,Low,Highly Secure
6,2,1,1,0,0,1,0,30.95,High,Privacy Risky
10,3,0,0,0,0,1,0,28.36,High,Privacy Risky
10,1,1,1,1,1,0,1,54.07,Low,Highly Secure
6,3,1,0,1,1,1,1,56.43,Low,Highly Secure
2,3,1,0,1,1,1,0,69.59,Low,Highly Secure
4,2,1,1,0,1,0,0,35.32,High,Privacy Risky
15,1,0,0,1,1,0,0,33.51,High,Privacy Risky
7,3,1,1,0,1,0,1,35.15,High,Privacy Risky
8,1,1,1,0,0,1,0,50.66,Medium,Moderately Secure
8,2,1,1,0,0,1,1,34.11,High,Privacy Risky
12,2,1,0,0,1,1,1,46.73,Medium,Moderately Secure
2,1,1,0,1,0,1,1,73.82,Low,Highly Secure
3,2,0,0,1,0,0,1,61.25,Low,Highly Secure
5,1,0,1,0,0,1,1,57.45,Low,Highly Secure
8,1,0,0,1,0,0,0,57.19,Low,Highly Secure
11,1,0,1,0,1,0,0,45.62,Medium,Moderately Secure
8,1,1,0,0,0,0,0,37.03,High,Privacy Risky
8,2,1,0,1,0,0,1,48.06,Medium,Moderately Secure
15,3,0,0,0,1,1,1,44.08,Medium,Moderately Secure
4,1,0,0,1,0,1,0,70.09,Low,Highly Secure
10,1,1,0,0,0,1,0,36.6,High,Privacy Risky
9,1,1,0,0,0,0,1,42.77,Medium,Moderately Secure
8,2,1,1,1,1,0,1,55.87,Low,Highly Secure
13,1,1,1,1,0,0,0,23.59,High,Privacy Risky
5,2,1,1,0,1,1,1,67.79,Low,Highly Secure
15,1,1,0,0,0,0,1,31.41,High,Privacy Risky
6,1,0,0,1,1,0,1,75.29,Low,Highly Secure
9,2,1,1,0,0,1,0,28.68,High,Privacy Risky
9,2,0,1,0,1,1,1,47.8,Medium,Moderately Secure
13,2,0,1,1,0,1,1,36.6,High,Privacy Risky
8,3,0,0,0,1,0,1,51.63,Medium,Moderately Secure
5,2,0,0,1,0,1,0,56.3,Low,Highly Secure
2,3,0,1,0,0,0,1,46.99,Medium,Moderately Secure
7,2,1,1,1,0,1,1,58.11,Low,Highly Secure
13,1,1,1,1,0,0,0,18.07,High,Privacy Risky
2,1,0,1,0,0,1,1,74.19,Low,Highly Secure
14,1,1,0,0,1,1,0,34.39,High,Privacy Risky
9,2,0,1,0,0,1,1,41.92,Medium,Moderately Secure
3,1,0,1,1,0,0,1,64.24,Low,Highly Secure
6,3,1,1,1,1,0,1,48.58,Medium,Moderately Secure
9,2,0,1,1,0,1,0,41.0,Medium,Moderately Secure
6,3,1,0,0,0,1,0,44.65,Medium,Moderately Secure
3,3,1,1,0,0,0,1,37.76,High,Privacy Risky
11,2,0,0,1,0,0,0,45.1,Medium,Moderately Secure
11,1,0,1,1,0,0,1,52.71,Low,Highly Secure
3,3,1,0,1,0,0,1,47.74,Medium,Moderately Secure
5,1,1,1,0,0,0,1,38.62,High,Privacy Risky
5,1,1,1,0,1,0,1,54.15,Low,Highly Secure
11,3,0,0,0,0,0,0,23.12,High,Privacy Risky
12,2,0,0,0,1,0,1,44.42,Medium,Moderately Secure
12,1,1,1,0,1,1,0,41.47,Medium,Moderately Secure
15,2,1,0,1,0,0,1,32.0,High,Privacy Risky
12,2,0,1,0,0,0,1,34.42,High,Privacy Risky
6,3,1,1,1,1,0,1,49.8,Medium,Moderately Secure
3,3,1,1,1,1,1,0,48.61,Medium,Moderately Secure
10,1,0,0,1,0,0,1,54.54,Low,Highly Secure
14,1,0,0,1,1,0,1,63.87,Low,Highly Secure
15,2,1,1,0,1,0,1,34.39,High,Privacy Risky
5,1,1,1,1,0,0,1,50.36,Medium,Moderately Secure
5,1,0,1,0,0,0,1,58.74,Low,Highly Secure
2,1,0,0,1,1,0,1,78.36,Low,Highly Secure
3,1,1,1,1,0,1,1,57.72,Low,Highly Secure
9,3,0,1,1,1,0,1,55.44,Low,Highly Secure
9,1,1,1,0,0,0,1,45.05,Medium,Moderately Secure
7,1,1,0,0,1,1,0,41.93,Medium,Moderately Secure
6,3,1,1,0,0,1,0,27.88,High,Privacy Risky
13,1,0,1,0,0,1,0,38.17,High,Privacy Risky
8,3,0,0,1,0,0,1,53.83,Low,Highly Secure
13,1,0,1,0,0,0,1,39.59,Medium,Moderately Secure
15,1,1,1,0,1,0,0,31.6,High,Privacy Risky
6,1,0,0,1,0,1,0,58.4,Low,Highly Secure
4,3,0,1,0,1,0,1,55.48,Low,Highly Secure
15,2,0,1,1,1,1,0,33.34,High,Privacy Risky
10,2,0,1,0,0,1,0,38.49,High,Privacy Risky
6,1,0,0,0,1,1,0,69.2,Low,Highly Secure
10,1,1,1,1,1,0,1,51.62,Medium,Moderately Secure
9,2,1,1,1,1,1,0,60.18,Low,Highly Secure
14,1,0,0,1,0,0,0,41.99,Medium,Moderately Secure
5,2,0,1,1,1,1,1,68.67,Low,Highly Secure
15,3,0,0,0,1,1,0,26.31,High,Privacy Risky
15,3,1,0,1,1,1,0,41.87,Medium,Moderately Secure
4,2,0,1,0,0,0,1,42.87,Medium,Moderately Secure
4,1,1,0,1,1,1,1,67.43,Low,Highly Secure
9,1,0,0,0,0,0,0,36.7,High,Privacy Risky
2,3,0,0,1,0,0,0,55.42,Low,Highly Secure
6,2,1,1,0,0,0,0,24.73,High,Privacy Risky
8,2,1,0,1,1,1,1,66.6,Low,Highly Secure
15,2,1,1,1,1,1,1,33.04,High,Privacy Risky
15,1,1,1,1,0,0,0,29.92,High,Privacy Risky
4,3,1,1,1,1,1,1,65.1,Low,Highly Secure
14,3,1,1,0,0,1,1,25.57,High,Privacy Risky
3,3,0,0,0,0,0,0,45.12,Medium,Moderately Secure
12,3,0,0,1,1,1,0,50.57,Medium,Moderately Secure
13,1,0,1,0,1,1,1,46.33,Medium,Moderately Secure
14,1,0,1,0,1,0,1,52.21,Low,Highly Secure
5,1,0,1,0,1,0,1,73.6,Low,Highly Secure
14,3,0,0,1,0,1,0,26.02,High,Privacy Risky
3,2,0,0,0,1,0,0,52.65,Low,Highly Secure
9,2,1,1,0,0,1,0,35.93,High,Privacy Risky
8,3,0,1,1,1,0,0,43.87,Medium,Moderately Secure
6,2,1,0,0,0,0,0,29.89,High,Privacy Risky
2,3,0,1,0,0,0,0,39.58,Medium,Moderately Secure
12,3,1,1,0,0,1,1,22.19,High,Privacy Risky
6,1,1,0,1,1,1,1,61.44,Low,Highly Secure
11,2,0,1,0,0,1,1,44.38,Medium,Moderately Secure
7,3,0,0,1,1,0,1,57.07,Low,Highly Secure
7,3,1,0,0,1,1,0,40.07,Medium,Moderately Secure
14,1,1,0,0,0,1,1,37.72,High,Privacy Risky
3,1,0,1,0,1,0,0,61.35,Low,Highly Secure
12,2,1,1,0,0,1,1,28.7,High,Privacy Risky
12,3,1,1,0,0,0,1,17.69,High,Privacy Risky
7,1,0,1,0,1,1,0,61.88,Low,Highly Secure
5,2,0,0,0,0,1,1,53.27,Low,Highly Secure
2,1,0,0,1,0,0,1,79.18,Low,Highly Secure
15,1,1,0,1,0,0,0,31.76,High,Privacy Risky
15,2,1,1,1,1,1,0,33.1,High,Privacy Risky
5,2,1,1,1,0,0,1,44.71,Medium,Moderately Secure
2,2,1,1,1,0,0,0,60.14,Low,Highly Secure
3,1,0,0,1,1,0,1,72.63,Low,Highly Secure
2,3,0,0,1,0,1,0,64.39,Low,Highly Secure
13,1,0,0,0,1,0,1,41.22,Medium,Moderately Secure
14,3,0,0,1,0,0,0,32.04,High,Privacy Risky
4,1,1,0,0,1,1,0,58.85,Low,Highly Secure
12,3,1,1,1,1,0,1,21.02,High,Privacy Risky
4,2,0,1,1,0,1,0,58.51,Low,Highly Secure
7,2,1,0,0,0,1,1,37.65,High,Privacy Risky
10,1,1,0,0,1,1,0,45.35,Medium,Moderately Secure
12,3,0,1,0,1,0,0,24.9,High,Privacy Risky
14,1,1,0,0,0,1,1,35.64,High,Privacy Risky
2,2,1,0,1,1,1,0,59.48,Low,Highly Secure
4,3,1,1,1,0,0,0,41.08,Medium,Moderately Secure
5,3,1,1,1,1,0,1,53.7,Low,Highly Secure
6,3,0,1,1,1,0,1,58.1,Low,Highly Secure
15,1,1,0,0,1,0,1,35.03,High,Privacy Risky
12,3,0,1,0,1,0,1,34.81,High,Privacy Risky
6,3,1,0,1,0,0,1,39.55,Medium,Moderately Secure
15,1,0,0,1,1,0,1,44.17,Medium,Moderately Secure
8,1,0,1,1,1,0,1,67.93,Low,Highly Secure
9,3,1,1,0,1,0,0,29.7,High,Privacy Risky
8,1,0,0,1,1,1,1,81.1,Low,Highly Secure
4,2,0,1,1,1,0,0,46.26,Medium,Moderately Secure
15,1,1,0,0,1,0,1,33.79,High,Privacy Risky
2,1,0,0,0,1,0,0,63.44,Low,Highly Secure
4,3,1,0,0,1,0,1,55.43,Low,Highly Secure
5,1,0,1,0,0,0,1,53.81,Low,Highly Secure
5,3,0,1,0,0,0,1,38.6,High,Privacy Risky
3,3,1,0,1,0,1,1,57.06,Low,Highly Secure
2,1,0,0,1,0,1,0,65.89,Low,Highly Secure
11,1,0,0,0,0,1,0,31.15,High,Privacy Risky
15,3,1,0,1,0,1,0,29.26,High,Privacy Risky
3,2,1,0,1,0,1,1,67.78,Low,Highly Secure
6,1,0,0,0,1,0,1,69.06,Low,Highly Secure
9,3,1,1,0,0,1,0,13.79,High,Privacy Risky
14,1,1,0,0,1,1,0,30.62,High,Privacy Risky
11,1,1,0,1,0,1,0,45.1,Medium,Moderately Secure
12,3,0,1,1,0,1,1,39.3,Medium,Moderately Secure
10,1,1,0,1,1,0,0,53.12,Low,Highly Secure
7,2,1,0,1,1,1,1,54.47,Low,Highly Secure
4,3,1,0,0,1,1,1,54.8,Low,Highly Secure
14,2,0,0,0,1,0,0,35.91,High,Privacy Risky
13,2,1,0,1,1,0,0,31.95,High,Privacy Risky
2,2,1,1,0,1,1,1,58.83,Low,Highly Secure
12,1,0,0,0,0,0,0,39.22,High,Privacy Risky
3,2,1,1,0,1,0,1,50.28,Medium,Moderately Secure
12,3,1,1,0,1,0,1,20.0,High,Privacy Risky
13,1,0,0,0,0,1,1,36.91,High,Privacy Risky
3,3,1,0,0,0,0,1,39.01,High,Privacy Risky
8,2,0,0,0,1,0,1,48.5,Medium,Moderately Secure
3,2,1,0,1,0,0,0,51.55,Medium,Moderately Secure
9,1,1,1,1,1,0,0,49.44,Medium,Moderately Secure
14,2,1,1,1,0,1,0,22.59,High,Privacy Risky
3,1,0,0,1,0,1,1,75.26,Low,Highly Secure
7,1,1,0,1,0,1,1,67.61,Low,Highly Secure
15,3,0,0,0,1,1,0,33.29,High,Privacy Risky
6,1,1,1,1,0,1,0,50.41,Medium,Moderately Secure
3,2,1,1,1,1,0,1,61.22,Low,Highly Secure
8,2,0,0,1,1,1,0,51.32,Medium,Moderately Secure
9,1,0,0,0,0,0,1,47.43,Medium,Moderately Secure
11,1,0,0,0,1,1,1,49.81,Medium,Moderately Secure
6,2,1,0,1,0,1,0,47.45,Medium,Moderately Secure
15,2,0,0,1,1,0,0,39.47,Medium,Moderately Secure
9,3,0,0,1,0,1,0,50.82,Medium,Moderately Secure
6,3,0,0,1,0,1,1,57.62,Low,Highly Secure
15,1,0,0,0,1,0,0,38.15,High,Privacy Risky
14,1,0,0,0,1,1,0,53.86,Low,Highly Secure
